last_name,first_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
Ramirez,Erasmo,541640,93.1,Sinker,24.8,15.4
Jackson,Zach,667427,94.5,4-Seamer,11.2,4.9
Hearn,Taylor,621368,84.9,Slider,38.7,3.2
Scott,Tanner,656945,96.9,4-Seamer,12.6,5.3
Alvarado,José,621237,99.6,Sinker,13.2,12.7
Irvin,Cole,608344,83,Changeup,32.5,13.3
Swanson,Erik,657024,93.6,4-Seamer,12.5,10
Cueto,Johnny,456501,82.6,Changeup,36,12.2
Bieber,Shane,669456,86.9,Cutter,27.3,2
Moore,Matt,519043,83.6,Curveball,50.2,4.1
Eflin,Zach,621107,92.7,Sinker,24.6,17
Smith,Will,519293,81.7,Slider,38.5,4.8
Romano,Jordan,605447,96.9,4-Seamer,11.2,5.3
Stratton,Chris,608717,92.8,4-Seamer,16.9,3.6
Sewald,Paul,623149,82.8,Slider,31.4,12
Gallegos,Giovanny,606149,94.3,4-Seamer,12.3,7.5
Weems,Jordan,607179,96.8,4-Seamer,11.1,6.8
Loup,Aaron,571901,91.2,Sinker,29.4,18.9
Hernandez,Elieser,622694,91.6,4-Seamer,15.1,6.4
Maton,Phil,664208,91,4-Seamer,16.8,1.3
Bassitt,Chris,605135,78.9,Slider,43.6,12.8
Cessa,Luis,570666,82.8,Slider,44.2,5.6
White,Mitch,669952,85.4,Slider,38.3,9.2
Cueto,Johnny,456501,86.9,Cutter,26.1,3.3
Milner,Hoby,571948,88.9,Sinker,34.8,18.5
Gallegos,Giovanny,606149,85.5,Slider,36.5,0.3
Lauer,Eric,641778,86.8,Slider,32.1,3.1
Rogers,Taylor,573124,94.3,Sinker,23.2,17
Garrett,Braxton,666129,84.1,Slider,41.7,9
Cortes,Nestor,641482,77.1,Slider,42.4,15.2
Montgomery,Jordan,656756,93,4-Seamer,16.8,8.8
Stephenson,Robert,596112,83.9,Slider,41.3,5.2
Greinke,Zack,425844,72,Curveball,64.4,12.5
Garcia,Yimi,554340,94.9,4-Seamer,16.7,9.5
Gray,Sonny,543243,78.7,Curveball,58.9,14.4
Cueto,Johnny,456501,91.4,4-Seamer,17.8,12.1
Abreu,Bryan,650556,97.2,4-Seamer,12,6.3
Winckowski,Josh,670174,94,Sinker,21.9,14.6
Watkins,Spenser,657093,87.1,Cutter,28.5,6
Wilson,Steven,621051,95.1,4-Seamer,12.1,8
Hudson,Dakota,641712,91.4,4-Seamer,24.2,4.4
Ashcraft,Graham,668933,85.8,Slider,40,11
Urías,Julio,628711,86.2,Changeup,30,13.9
Syndergaard,Noah,592789,84.8,Slider,36.7,5.8
Suárez,Ranger,624133,93.2,4-Seamer,20.1,6.6
Garrett,Amir,607237,84.7,Slider,32.8,1.5
Lodolo,Nick,666157,94.2,Sinker,24.3,18.6
Martinez,Nick,607259,93.4,4-Seamer,14.3,7.2
Ottavino,Adam,493603,81,Slider,40.1,17.7
Bednar,David,670280,96.4,4-Seamer,12.4,10.2
Winder,Josh,680739,94,4-Seamer,13.4,8.3
Abreu,Bryan,650556,88.4,Slider,37.8,8.2
Wells,Tyler,669330,87.5,Slider,28.1,4.9
Hughes,Brandon,676714,93.2,4-Seamer,16.8,12.9
Nola,Aaron,605400,85.9,Changeup,33.8,15.2
Luzardo,Jesús,666200,96.3,4-Seamer,14.6,13.5
Megill,Tylor,656731,95.7,4-Seamer,13.5,7.2
Quintana,José,500779,91.4,Sinker,19.7,12.6
Stripling,Ross,548389,87.1,Slider,29.6,4.5
deGrom,Jacob,594798,98.9,4-Seamer,11.3,9.5
Graveman,Kendall,608665,96.5,Sinker,18.9,15.5
Bush,Matt,456713,97.3,4-Seamer,10.1,6.7
Lynch,Daniel,663738,84.8,Changeup,27.7,13.2
Smeltzer,Devin,656970,89.5,4-Seamer,18.1,11
Hoffman,Jeff,656546,94.2,4-Seamer,13.8,10.7
Alexander,Tyler,641302,85.5,Cutter,27.8,3.8
Martinez,Nick,607259,79.7,Changeup,38.2,13.4
Wilson,Bryse,669060,92.7,4-Seamer,17.4,8.5
Thompson,Zach,605507,92.2,Sinker,24.1,9.7
Stephenson,Robert,596112,96.8,4-Seamer,14,11.4
Richards,Trevor,670950,84.1,Changeup,32.6,16.2
Cishek,Steve,518553,76.5,Slider,52.2,16.2
Minor,Mike,501985,85.4,Slider,33.7,3.5
Suarez,José,660761,82.4,Changeup,35.4,12.7
Cease,Dylan,656302,81.1,Curveball,59.1,3.6
García,Jarlín,606424,93.8,4-Seamer,18.1,14.8
Gallen,Zac,668678,89.9,Cutter,26.7,5.3
Brasier,Ryan,518489,95.9,4-Seamer,13.2,7.1
Thompson,Zach,605507,76.6,Curveball,56.5,5
Gonsolin,Tony,664062,87.5,Slider,30.8,3.2
Pineda,Michael,501381,89.9,4-Seamer,19.8,5.5
Crowe,Wil,640444,87.6,Slider,35.3,6
Oller,Adam,670124,93.3,4-Seamer,14.2,11.1
Abbott,Cory,676265,91.3,4-Seamer,15.8,11.5
Bird,Jake,656234,95,Sinker,30,11.1
Henry,Tommy,674072,91.6,4-Seamer,17.6,7.2
Lauer,Eric,641778,78.2,Curveball,52.7,6.4
Civale,Aaron,650644,75.9,Curveball,65.8,11.7
Davis,Austin,656354,80.5,Slider,41.6,15
Falter,Bailey,663559,91,Sinker,15.8,7.9
Oviedo,Johan,670912,96,4-Seamer,19.5,8.7
Cuas,Jose,621016,93.1,Sinker,31.2,16.9
Hand,Brad,543272,79.3,Slider,47.9,16.4
Hughes,Brandon,676714,82.9,Slider,36.6,3.9
Megill,Trevor,656730,98,4-Seamer,11.7,4.2
Brasier,Ryan,518489,85.5,Slider,38,6.4
Acevedo,Domingo,642758,93,4-Seamer,18.4,13.6
Lawrence,Justin,664875,95.1,Sinker,29.3,16.5
Karinchak,James,675916,95.2,4-Seamer,9.5,1.9
Ober,Bailey,641927,91.5,4-Seamer,15.3,8.5
Wright,Kyle,657140,88.1,Changeup,35,15.9
Gallen,Zac,668678,86.2,Changeup,32.8,11.9
Berríos,José,621244,84.6,Changeup,33.9,14.4
Weaver,Luke,596133,94.9,4-Seamer,14.1,8.9
Strickland,Hunter,519326,84.8,Slider,39.4,8.5
Hendricks,Kyle,543294,86.5,Sinker,27.8,12.9
Neris,Héctor,593576,94.3,4-Seamer,13.9,10.4
Wood,Alex,622072,85.7,Changeup,37,14.1
Sanchez,Aaron,592717,92.1,Sinker,22.5,16.4
Pepiot,Ryan,686752,93.9,4-Seamer,12.9,9.9
Wheeler,Zack,554430,95.4,Sinker,18.5,16
Hendricks,Kyle,543294,79.9,Changeup,32.2,12.4
Taillon,Jameson,592791,81.1,Curveball,51.8,9.2
Kelly,Merrill,518876,82.2,Curveball,50.9,9.1
Woodruff,Brandon,605540,86.1,Changeup,28,15.8
Murfee,Penn,682171,89,4-Seamer,26.7,2.9
Keller,Mitch,656605,78.7,Curveball,60,11.2
Pop,Zach,647315,96.5,Sinker,24.5,17
Yarbrough,Ryan,642232,82.3,Cutter,34.5,1.9
Wantz,Andrew,681806,93.8,4-Seamer,13.6,3
Diekman,Jake,518617,81.4,Slider,40.3,16
Hill,Tim,657612,89.5,Sinker,38.5,15.9
Senzatela,Antonio,622608,86.1,Slider,34.3,4.9
Smith,Will,519293,92.1,4-Seamer,15.4,8.6
Puk,A.J.,640462,86.9,Slider,35.2,3.3
Smith,Drew,622098,95.7,4-Seamer,11.4,7
Mayers,Mike,594577,93.5,4-Seamer,15,11
Sawamura,Hirokazu,617228,95.9,4-Seamer,14,8.8
Rodríguez,Joely,570257,92.7,Sinker,25.7,17.4
Crawford,Kutter,676710,88.8,Cutter,26.7,4.4
Syndergaard,Noah,592789,88.5,Changeup,26.8,15.1
Moll,Sam,594580,81.7,Slider,43.9,17.3
Bundy,Dylan,605164,81.1,Changeup,35.3,12.2
Phillips,Evan,623465,85.3,Slider,36.2,15.3
Walker,Taijuan,592836,84.8,Slider,32.6,5.3
Minor,Mike,501985,84.2,Changeup,28.8,16.7
Bard,Daniel,453268,88.4,Slider,32.6,7.5
Hill,Garrett,682051,92,4-Seamer,16.3,9.5
Falter,Bailey,663559,91.4,4-Seamer,13.8,1.2
Gausman,Kevin,592332,84.4,Slider,35.1,1.1
Skubal,Tarik,669373,94.8,Sinker,19.3,15.2
Sánchez,Cristopher,650911,93,Sinker,23.5,17.8
Banks,Tanner,621383,92.9,4-Seamer,15.5,1.9
Germán,Domingo,593334,81,Curveball,45,1.3
Pérez,Cionel,672335,97,4-Seamer,12.7,6.2
Davidson,Tucker,656353,86.6,Slider,37.1,5.9
Matz,Steven,571927,94.5,Sinker,18.3,15.4
Santana,Dennis,642701,85.8,Slider,39.4,1.7
Bassitt,Chris,605135,71.6,Curveball,68,14.9
Williams,Devin,642207,93.9,4-Seamer,14.5,12.2
Espino,Paolo,502179,77.7,Slider,44.2,18.7
Lyles,Jordan,543475,79.1,Curveball,58.7,7.6
Foster,Matt,641582,93.7,4-Seamer,12.6,5.8
Heaney,Andrew,571760,83.4,Slider,38.2,3.6
Cabrera,Edward,665795,92.5,Changeup,23.9,16.1
Clevinger,Mike,605182,79.9,Slider,44.6,15.6
Detmers,Reid,672282,73.1,Curveball,67,12.2
Jackson,Zach,667427,85.2,Slider,40.1,0.6
Ureña,José,570632,86.8,Slider,30.4,1.5
Freeland,Kyle,607536,84.8,Changeup,30.6,10.9
Fried,Max,608331,86.5,Changeup,32.4,12.9
Oviedo,Johan,670912,85.7,Slider,35.6,5.8
Hernandez,Elieser,622694,80.1,Slider,30.5,8.2
García,Rony,665621,92.9,4-Seamer,18,10.6
Cishek,Steve,518553,89.8,Sinker,29.3,17.7
King,John,667463,92.4,Sinker,31.4,15.6
Urquidy,José,664353,86.1,Changeup,23.6,15.8
Cueto,Johnny,456501,83.5,Slider,33.7,2.7
Jax,Griffin,643377,95.4,4-Seamer,13.5,8.6
Bellatti,Andrew,571479,94.4,4-Seamer,14.2,10.5
Ashby,Aaron,676879,89.1,Changeup,31.2,14.8
Thompson,Keegan,624522,89.9,Cutter,25.4,5.2
Ferguson,Caleb,657571,94.8,4-Seamer,14.5,6.2
Crowe,Wil,640444,85.9,Changeup,33,10.2
Swarmer,Matt,664161,82.1,Slider,37.5,7.3
Festa,Matthew,670036,92.6,4-Seamer,17.6,4.8
Díaz,Edwin,621242,99.1,4-Seamer,14.5,13.5
Santana,Dennis,642701,96.7,Sinker,20.5,17.6
Schreiber,John,670167,82.1,Slider,36.6,13
Littell,Zack,641793,94.5,4-Seamer,12.6,6.2
Voth,Austin,608723,89.5,Cutter,26.6,2.5
Warren,Art,605521,85.5,Slider,36.4,8.2
Brubaker,JT,664141,80,Curveball,50.9,6.5
Tepera,Ryan,572193,85.2,Slider,34,5.8
McClanahan,Shane,663556,89.3,Slider,30.6,3.6
Gonzales,Marco,594835,76.6,Curveball,59.8,6.3
Heasley,Jonathan,669169,84.9,Changeup,27.7,12.9
Rucker,Michael,621074,94.7,4-Seamer,14.5,7.4
Odorizzi,Jake,543606,87.6,Cutter,23.3,2.6
Stammen,Craig,489334,91.4,Sinker,22.1,14.2
Bassitt,Chris,605135,93.2,4-Seamer,17.8,5.6
Alvarado,José,621237,93.8,Cutter,25.5,1.9
Familia,Jeurys,544727,95.2,Sinker,26.8,15.5
Chapman,Aroldis,547973,97.5,4-Seamer,11,4.5
Gilbert,Logan,669302,80.8,Curveball,50.1,4.2
Nelson,Kyle,669459,84.3,Slider,38.2,6.2
Houck,Tanner,656557,85.4,Slider,37,11.1
Alexander,Tyler,641302,90.1,4-Seamer,15.9,7.7
Greinke,Zack,425844,86.5,Changeup,32.6,12.8
Fried,Max,608331,93.6,Sinker,21.6,11
Bleier,Richard,542947,89.8,Sinker,30.6,15.5
Armstrong,Shawn,542888,95.6,Sinker,18.6,15.5
Morejon,Adrian,670970,96.9,4-Seamer,12.2,6.8
Barlow,Scott,605130,78.6,Curveball,53.4,16.2
Staumont,Josh,622251,96.1,4-Seamer,11.6,2.7
Luzardo,Jesús,666200,87.2,Changeup,27.7,15.6
Urquidy,José,664353,78.1,Curveball,60.3,7.4
Anderson,Ian,666120,81.7,Curveball,43.8,0.6
Cobb,Alex,502171,83.8,Curveball,51.9,5.9
Winder,Josh,680739,84.3,Slider,37.1,1
Blach,Ty,621389,91.1,Sinker,24.1,14.2
Wilson,Steven,621051,82.2,Slider,38.8,11.1
Lorenzen,Michael,547179,85.7,Changeup,27.8,16.2
Cimber,Adam,643256,77.8,Slider,37.5,7.4
Elder,Bryce,693821,90.7,Sinker,25,14.5
deGrom,Jacob,594798,92.6,Slider,26.4,3.6
Farmer,Buck,571656,94.6,4-Seamer,15.3,10.1
Lorenzen,Michael,547179,94.6,4-Seamer,15.8,11.9
Lugo,Seth,607625,79.8,Curveball,60.8,10.7
Rainey,Tanner,663432,97,4-Seamer,11,8.7
Yarbrough,Ryan,642232,71.3,Curveball,49.4,15.7
Cimber,Adam,643256,86.5,4-Seamer,31.6,10.9
Kelly,Joe,523260,88.1,Curveball,43.1,8.5
Akin,Keegan,669211,85.3,Slider,36.2,5.1
Mantiply,Joe,573009,90.4,Sinker,29.4,18.3
Clarke,Taylor,664199,95.6,4-Seamer,12.3,5.5
Eovaldi,Nathan,543135,87.8,Splitter,34.1,12.4
Martin,Chris,455119,95.3,4-Seamer,15.9,7.7
Severino,Luis,622663,88.8,Changeup,25.4,13.6
Muñoz,Andrés,662253,100.2,4-Seamer,13.9,12.1
Fleming,Josh,676596,91.2,Sinker,30.3,17.5
Rodriguez,Eduardo,593958,88.7,Cutter,24.9,1.1
Gomber,Austin,596295,82,Changeup,29.8,9.8
Lorenzen,Michael,547179,93.9,Sinker,22.7,17
Vest,Will,676684,86.4,Slider,38.6,9
Lee,Dylan,669276,83.8,Slider,34.4,3.2
Lambert,Jimmy,669424,94.3,4-Seamer,12.7,7.7
Díaz,Alexis,664747,86.9,Slider,35.1,5.8
Buehler,Walker,621111,95.2,4-Seamer,13.3,5.9
Hendricks,Kyle,543294,86.9,4-Seamer,20.4,6
Suarez,José,660761,81.7,Slider,36.4,9.1
Garrett,Braxton,666129,91.4,4-Seamer,17.1,9.3
Urquidy,José,664353,80.1,Slider,41.9,14.5
Minter,A.J.,621345,90.3,Cutter,29,5.1
Smith,Caleb,592761,85.4,Slider,29.2,3.1
Milner,Hoby,571948,79.5,Curveball,45.3,13.4
Pérez,Cionel,672335,83.9,Slider,44.7,12.2
Flexen,Chris,623167,81.1,Changeup,32.9,12.6
Montas,Frankie,593423,87.2,Slider,32.9,6.2
Snell,Blake,605483,81.4,Curveball,51,12.2
Cole,Gerrit,543037,83,Curveball,53,10.2
Nelson,Nick,656793,87.9,Changeup,28.2,16.1
Gomber,Austin,596295,75.8,Curveball,61.6,7
Chafin,Andrew,605177,91.6,Sinker,20.6,15.1
Brash,Matt,666374,86.8,Slider,36.6,15.2
Schmidt,Clarke,657376,86.4,Slider,32.9,8.3
Bello,Brayan,678394,96.3,Sinker,25.1,17.2
Soto,Gregory,642397,98.7,4-Seamer,14.5,11.2
Clase,Emmanuel,661403,91.9,Slider,32.4,7.1
Suarez,Robert,663158,97.9,4-Seamer,11.6,7.3
Sandoval,Patrick,663776,93.4,Sinker,19,13.7
Hentges,Sam,656529,95.7,4-Seamer,15.1,8.4
Loup,Aaron,571901,84.7,Cutter,35.6,0.3
Howard,Spencer,675921,94.4,4-Seamer,14.4,7.6
Acevedo,Domingo,642758,86.5,Slider,29.6,7.2
Norris,Daniel,596057,91.2,4-Seamer,15.5,7.4
Quantrill,Cal,615698,85.3,Changeup,30,12.3
Ramirez,Yohan,670990,95.7,Sinker,24.4,17.8
Manaea,Sean,640455,81.4,Slider,39.1,4.2
Peralta,Wandy,593974,88.5,Changeup,29.9,17.3
Rogers,Trevor,669432,80.7,Slider,36.3,7.6
Stephens,Jackson,623451,94.1,4-Seamer,16.2,6.1
Payamps,Joel,606303,82.2,Slider,44.4,10.3
Blackburn,Paul,621112,87.1,Cutter,30.9,6.1
Civale,Aaron,650644,91.3,Sinker,21.2,12.2
Ottavino,Adam,493603,94.2,Sinker,24.7,16.4
Lee,Dylan,669276,92.1,4-Seamer,12.7,7
Ashcraft,Graham,668933,97.1,Sinker,22.6,9.7
DeJong,Chase,608328,83.6,Slider,40.6,4.4
Moran,Jovani,663558,93.4,4-Seamer,13.4,2.9
Abreu,Albert,656061,98.5,Sinker,15.1,14.7
Maton,Phil,664208,74.5,Curveball,58.9,19.9
Davidson,Tucker,656353,93.2,4-Seamer,14.3,3.1
Winckowski,Josh,670174,84.8,Slider,41,5.6
Severino,Luis,622663,85.2,Slider,40.8,10.3
Doval,Camilo,666808,99.4,Cutter,14.7,5
Moronta,Reyes,606625,95.3,4-Seamer,13.6,6.1
Pallante,Andre,669467,87,Slider,37.3,5.4
Lorenzen,Michael,547179,83.4,Slider,39.6,10.2
Lawrence,Justin,664875,82.3,Slider,36.1,14.5
Gutierrez,Vladimir,661269,92.8,4-Seamer,17.7,12
Smyly,Drew,592767,88.6,Cutter,23.6,3.6
Krehbiel,Joey,607216,94.4,4-Seamer,15,9.9
Herget,Jimmy,623474,83.2,Slider,35.2,3.3
Kimbrel,Craig,518886,85.7,Curveball,44,10.2
Thompson,Zach,605507,92.3,4-Seamer,18.1,2
Feltner,Ryan,663372,93.5,Sinker,25.7,12.1
Faedo,Alex,656412,85,Slider,35,2.8
Cishek,Steve,518553,89.3,4-Seamer,23.1,12
Phelps,David,475479,93.2,4-Seamer,13.6,8.7
Martin,Davis,663436,84.3,Slider,38.2,7.1
Wacha,Michael,608379,88.8,Cutter,23.4,1.2
Machado,Andres,600921,95,Sinker,18.7,15.4
Marinaccio,Ron,676760,94.6,4-Seamer,13.6,12.5
Castillo,Max,666721,93,4-Seamer,17.5,13
Adam,Jason,592094,81.3,Slider,43.3,13.1
Sanmartin,Reiver,665665,85.2,Changeup,38.7,16.9
Barlow,Joe,669618,87.3,Slider,28.4,3.8
Brash,Matt,666374,96.9,4-Seamer,15.3,11.5
Otto,Glenn,657248,81.2,Curveball,52.3,6.5
Zimmermann,Bruce,669145,84.6,Changeup,28.3,16.7
Jiménez,Dany,666204,81.9,Slider,41.1,2
Hicks,Jordan,663855,84.7,Slider,38.7,11.8
Sandlin,Nick,680704,78.9,Slider,37.8,12.7
Waldichuk,Ken,686610,94.1,4-Seamer,15.4,10.5
Cotton,Jharel,605194,92.7,4-Seamer,13,8.3
Luzardo,Jesús,666200,95.7,Sinker,18.1,16.9
Manoah,Alek,666201,86.5,Changeup,27.2,14.5
Sánchez,Aníbal,434671,87.3,Cutter,23.5,0.2
Pruitt,Austin,643493,87.5,Slider,32.9,5.3
Duffey,Tyler,608648,82.2,Curveball,49.8,8.4
Moll,Sam,594580,93.3,Sinker,27.9,13.2
Houser,Adrian,605288,94.3,4-Seamer,15.5,9.4
Ruiz,José,614179,86.3,Curveball,42,2
Zimmermann,Bruce,669145,90.6,4-Seamer,16.6,7.9
Effross,Scott,664123,79.8,Slider,40.3,12.5
Garrett,Amir,607237,94.2,4-Seamer,16.6,11.2
Rodríguez,Joely,570257,87.8,Changeup,35.1,11.3
Snead,Kirby,669912,93.3,Sinker,25.3,18.7
Marte,Yunior,628708,86,Slider,35.9,4.3
Gibson,Kyle,502043,92,4-Seamer,16.4,6.3
Barnes,Matt,598264,84.1,Curveball,48.9,3.7
Garrett,Braxton,666129,90.9,Sinker,26.3,16.4
Thompson,Ryan,657044,90,Sinker,41.7,15.8
Yarbrough,Ryan,642232,78.6,Changeup,39.8,16.9
Krehbiel,Joey,607216,84.3,Changeup,36.2,14.1
Ortega,Oliver,661383,95.9,4-Seamer,15.1,2.4
Lyles,Jordan,543475,86.3,Changeup,29.1,13.7
Raley,Brooks,548384,81.4,Slider,40.5,18.5
Burnes,Corbin,669203,90.3,Changeup,26.4,14.4
Strzelecki,Peter,657265,93.5,4-Seamer,17.6,11.5
Eovaldi,Nathan,543135,78.3,Curveball,54.2,9.7
Duran,Jhoan,661395,87.8,Curveball,42.2,3
Oller,Adam,670124,89.5,Cutter,24.2,1.3
Flaherty,Jack,656427,93.3,4-Seamer,17.5,3.6
Bush,Matt,456713,81,Curveball,51.8,8.4
Woodruff,Brandon,605540,84,Curveball,46,2.5
Stratton,Chris,608717,80.8,Curveball,50.2,16.1
Arano,Víctor,644364,84.8,Slider,36.6,0.8
López,Reynaldo,625643,87.4,Slider,30.8,6.4
Barnes,Matt,598264,95,4-Seamer,13.7,10.9
Ort,Kaleb,672391,96.3,4-Seamer,12.9,9.4
Greinke,Zack,425844,85.8,Cutter,30.9,6.7
Bickford,Phil,641360,83.3,Slider,37.6,6.5
Thompson,Keegan,624522,81.3,Curveball,55.1,8.2
Lamet,Dinelson,659275,86.3,Slider,32.7,0.3
Ohtani,Shohei,660271,89.3,Splitter,31.9,5.4
Sánchez,Aníbal,434671,79.9,Changeup,35.3,13.4
Chavez,Jesse,445926,91.2,Sinker,25.6,16.5
Sawamura,Hirokazu,617228,92,Splitter,29,8.6
Ramirez,Noé,598287,89.8,4-Seamer,22.6,10.4
Long,Sam,669674,94.7,4-Seamer,12.4,7.5
Ragans,Cole,666142,92.1,4-Seamer,14,10.7
Morton,Charlie,450203,94.7,Sinker,25.4,17.1
Baker,Bryan,641329,87.3,Cutter,33.1,7.4
Lugo,Seth,607625,94.4,4-Seamer,13.4,8.3
Taillon,Jameson,592791,94.2,Sinker,16.2,13.6
Neris,Héctor,593576,85.1,Splitter,38.7,10.7
Floro,Dylan,571670,92.6,Sinker,23.2,17.3
Thompson,Zack,668868,94.8,4-Seamer,14.5,7.9
Valdez,Framber,664285,83,Cutter,45,3.7
Clarke,Taylor,664199,88.4,Slider,31.4,3.6
Mayers,Mike,594577,84.4,Slider,38.6,4.1
Cimber,Adam,643256,86.5,Sinker,45.7,12.2
Taillon,Jameson,592791,90.7,Cutter,20.7,2.9
Blackburn,Paul,621112,78.8,Curveball,61.1,8.4
García,Luis,472610,82.7,Slider,38.3,12.1
Helsley,Ryan,664854,89.1,Slider,32.2,4.5
Okert,Steven,595345,93.7,4-Seamer,16.5,10
Alexander,Tyler,641302,90.1,Sinker,21,14.8
Vesia,Alex,681911,85,Slider,34.5,7.3
Marte,Yunior,628708,96.9,Sinker,21.4,17.7
Domínguez,Seranthony,622554,97.6,4-Seamer,14.8,3.1
Peterson,David,656849,85.8,Changeup,31.2,16.2
Bumgarner,Madison,518516,85.5,Changeup,29.6,13
Brogdon,Connor,641401,83.8,Changeup,32.1,17.1
Iglesias,Raisel,628452,95,4-Seamer,14.4,9.8
Leone,Dominic,608678,95.5,4-Seamer,14.4,6.1
Keuchel,Dallas,572971,79.2,Changeup,38.7,14.3
McFarland,T.J.,519008,88.8,Sinker,34.2,17.2
Moran,Jovani,663558,83.3,Changeup,31.4,13.7
Sulser,Cole,642121,91.9,4-Seamer,14.5,7.6
Heasley,Jonathan,669169,78.5,Curveball,60.3,6.1
Martinez,Nick,607259,88.6,Cutter,26.9,1.7
Hudson,Dakota,641712,80.5,Curveball,46.9,7.4
Wentz,Joey,666214,92.4,4-Seamer,15.6,11.9
Machado,Andres,600921,95.6,4-Seamer,13.6,7
Phelps,David,475479,81.7,Curveball,48.4,3.4
Peralta,Wandy,593974,95.4,Sinker,20.4,17
Givens,Mychal,571710,84.7,Slider,35.5,6.1
Armstrong,Shawn,542888,95.3,4-Seamer,14.2,5.2
Wells,Tyler,669330,86.7,Changeup,23.1,14.9
Luetge,Lucas,476595,77.4,Slider,47.5,19.3
Adam,Jason,592094,90,Changeup,31.8,16.4
Sands,Cole,663485,91.6,4-Seamer,20.2,8.8
Head,Louis,545343,82.5,Slider,43.2,13
Armstrong,Shawn,542888,92.3,Cutter,23.9,4.7
Adam,Jason,592094,94.8,4-Seamer,13,6.9
Dunning,Dane,641540,87.1,Cutter,26.6,1
Syndergaard,Noah,592789,94.1,4-Seamer,16.7,5.8
Kershaw,Clayton,477132,73.2,Curveball,66.9,4.9
Kremer,Dean,665152,83.8,Changeup,37.8,15.1
Burnes,Corbin,669203,88.2,Slider,35.1,7.4
Odorizzi,Jake,543606,85.1,Splitter,31.1,11.8
Bass,Anthony,542914,95.4,Sinker,16.2,13.7
Cotton,Jharel,605194,79.7,Changeup,36.8,13.5
Gibaut,Ian,664139,95.8,4-Seamer,12.5,4.7
Crowe,Wil,640444,94.4,Sinker,17.8,12.1
Lange,Alex,656638,96.2,Sinker,20.4,15.8
Schreiber,John,670167,94.5,4-Seamer,21.5,10.3
Nance,Tommy,667297,85.3,Curveball,49.4,11.5
Germán,Domingo,593334,92.7,4-Seamer,15.7,11
Leone,Dominic,608678,85.1,Slider,40.5,5.1
Gibson,Kyle,502043,84.6,Changeup,34.6,14.8
Alexander,Tyler,641302,82.8,Changeup,31.5,13.7
Pallante,Andre,669467,76.5,Curveball,65.1,9
García,Jarlín,606424,85.2,Changeup,27.8,16.2
White,Mitch,669952,80.2,Curveball,57.2,5.2
Arano,Víctor,644364,93.9,Sinker,21.3,16.9
Watkins,Spenser,657093,78.4,Slider,47.1,13.9
Snead,Kirby,669912,82,Slider,41.2,9.2
Strahm,Matt,621381,94.2,4-Seamer,15.1,13.5
Nelson,Nick,656793,89.9,Slider,30,2.2
Wainwright,Adam,425794,88,4-Seamer,20.1,1.4
Wilson,Bryse,669060,83.4,Slider,36.2,5.2
